epoch,train_loss,val_loss,val_roc_auc_score
1,0.67528035372672,0.6459805965423584,0.7178845069488209
2,0.626420080015175,0.6119909286499023,0.7741439738189215
3,0.5827815546204117,0.5840871930122375,0.8107234070781785
4,0.5546981258505195,0.5688585042953491,0.8273519298594756
5,0.5394511347456562,0.5629864931106567,0.8357601689387155
6,0.5230327407871713,0.5135135054588318,0.8396740632635686
7,0.5157067562054836,0.4889340102672577,0.8418134377038489
8,0.5143763452356854,0.5030902624130249,0.8446161840635953
9,0.5105878664309221,0.49869632720947266,0.8455891295454797
10,0.5048696830192732,0.5056768655776978,0.8480214932501907
11,0.502103886190486,0.499611496925354,0.8487180337656307
12,0.49850097551383443,0.45260730385780334,0.8491271131159684
13,0.4981471099385613,0.4856373965740204,0.8486903932689862
14,0.4977461864080655,0.47517895698547363,0.8504262164582573
15,0.48907694864202533,0.47737839818000793,0.8500834742998661
16,0.48974343008661175,0.497900128364563,0.8503101263723507
17,0.4891627739225854,0.48671847581863403,0.8503543511669818
18,0.4827671002236579,0.48640087246894836,0.853079704136124
19,0.4838155868961026,0.47319522500038147,0.8545335942596217
20,0.48300935125209876,0.4897823929786682,0.8530907603347817
21,0.4815262105514312,0.4755593538284302,0.8501332271938262
22,0.4790463153368387,0.4662471115589142,0.852875164460955
23,0.47776153695418755,0.46593353152275085,0.8542295487965328
24,0.4730328591558825,0.4926551580429077,0.8500585978528863
