epoch,train_loss,val_loss,val_roc_auc_score
1,0.6483202276850594,0.6494255661964417,0.7764491912390682
2,0.5863542459772889,0.6046181321144104,0.8166495295587473
3,0.5509124226001123,0.504730761051178,0.840099726911893
4,0.5234583134540675,0.4689614176750183,0.8440799584286931
5,0.5132015904143482,0.5230865478515625,0.8456775791347417
6,0.5045341110735014,0.47277531027793884,0.8503930478622841
7,0.5007644248079266,0.5241886377334595,0.8486461684743551
8,0.49524946131649805,0.5339140295982361,0.8466394684179686
9,0.4871716519902209,0.4984888732433319,0.8473691775293819
10,0.4874561004032045,0.560415506362915,0.8438920030515108
11,0.48214128927954086,0.45723310112953186,0.8463409510542085
