epoch,train_loss,val_loss,val_roc_auc_score
1,0.557188223565326,0.46970152854919434,0.8326080397344845
2,0.4808437191680366,0.49485063552856445,0.8417003202896534
3,0.45760552684466044,0.4486633241176605,0.8465742932739172
4,0.4395375220798979,0.4414111375808716,0.8470152717820173
5,0.4288565342624982,0.460008442401886,0.8440154574571788
6,0.41316709901187937,0.5613892078399658,0.8393445666805923
7,0.3991160885960448,0.4454038143157959,0.8448567980318433
8,0.3814309352607119,0.4128468930721283,0.8455704869331104
9,0.3641471962426223,0.41469234228134155,0.8454892540500394
10,0.35198966593426817,0.4044654071331024,0.8330084018010492
11,0.33698275758355273,0.4943523406982422,0.8387469247551408
12,0.3097033995769772,0.5162885189056396,0.8374704080211671
13,0.2882895789310044,0.43794816732406616,0.8315230005106068
14,0.273189821488717,0.6493754386901855,0.8300898203592815
