epoch,train_loss,val_loss,val_roc_auc_score
1,0.6346477329965652,0.5646555423736572,0.8307904076420445
2,0.5665346150557826,0.45600149035453796,0.8513770495428261
3,0.5368969531979148,0.5071244239807129,0.8569162050703727
4,0.5189199254034073,0.4607585072517395,0.8663968954194169
5,0.506032401299852,0.45509660243988037,0.8708912401738034
6,0.49171825609807895,0.4688125252723694,0.8733180757791857
7,0.4889759082259156,0.4416952431201935,0.8755127312127544
8,0.4826629882253061,0.48726221919059753,0.8743905270489901
9,0.47462544431836584,0.46541234850883484,0.8732904352825411
10,0.47106995709299104,0.4494244158267975,0.8780777693013588
11,0.4661258353492406,0.42566919326782227,0.8794763784315678
12,0.46334918864130037,0.39823082089424133,0.8786029387376033
13,0.45736640210696095,0.4592323303222656,0.8750649551671144
14,0.44972509896661356,0.4606654644012451,0.8751699890543634
15,0.4528462090126173,0.47921937704086304,0.8773038353953144
16,0.44735927551280796,0.4696202278137207,0.8755237874114122
17,0.4403877562777264,0.4494096338748932,0.8784757924530389
18,0.4400565084509962,0.3762916028499603,0.881295123110772
19,0.4328640565041482,0.39575690031051636,0.8795703561201588
20,0.4294925578466551,0.4483814537525177,0.8747166849093944
21,0.4274719493008974,0.43943795561790466,0.8727320972503233
22,0.42005511519946453,0.3933728337287903,0.8741472906785189
23,0.4220595541666812,0.3838125467300415,0.882035888420843
24,0.4143725624821317,0.4416526257991791,0.876872643647661
25,0.4119625596080239,0.4165859520435333,0.8760600130463144
26,0.41468172403067116,0.4520910084247589,0.8736055369442879
27,0.412034103368211,0.4059305787086487,0.8716043649872302
28,0.40755831620355293,0.43727555871009827,0.8732019856932789
29,0.4018103711483047,0.525651752948761,0.8686578880449324
30,0.4044284499067021,0.4907855689525604,0.8710183864583679
31,0.3972324997655989,0.42530307173728943,0.871112364146959
32,0.3914608359336853,0.4277534782886505,0.8719194666489767
33,0.3948951844037987,0.45026132464408875,0.866894424359017
