epoch,train_loss,val_loss,val_roc_auc_score
1,0.5489450717374446,0.5719271302223206,0.8308181996106263
2,0.4923377114806383,0.6395869255065918,0.8426049918107933
3,0.47206906007514116,0.6232173442840576,0.8361489096509028
4,0.45121562143876437,0.5420418977737427,0.8363034229854037
5,0.42815352979278753,0.5459145307540894,0.849437056417969
6,0.40540798095661024,0.5171711444854736,0.8333470678519557
7,0.3818843253548183,0.5725700259208679,0.8302928542733238
8,0.35124075361749246,0.47807326912879944,0.8364991398757713
9,0.32815676192856497,0.5773846507072449,0.8223714706579177
10,0.2976385730924824,0.5628958344459534,0.820882992202227
