epoch,train_loss,val_loss,val_roc_auc_score
1,1.3730042868969488,0.521805465221405,0.8116673629485217
2,1.2539534040525848,0.48659130930900574,0.8152648191988117
3,1.248893588664485,0.5133722424507141,0.8219085085642669
4,1.2164524821674123,0.49399662017822266,0.8258773151371676
5,1.2138487339019775,0.5070376992225647,0.8249141252378964
6,1.1986071313128752,0.4581446349620819,0.817632177505454
7,1.2224018414815268,0.4998067617416382,0.8242352504293738
8,1.2299078555668101,0.474066823720932,0.818444506336165
9,1.1758284169084885,0.4428040385246277,0.8296198301072273
10,1.162484400178872,0.4730885326862335,0.8314417676275357
11,1.1605437582614375,0.48070967197418213,0.8266258181311794
12,1.1542493221806545,0.4751715064048767,0.8238174813164368
13,1.1536822029188567,0.48218047618865967,0.830849928050875
14,1.1348150662347383,0.4785497188568115,0.8258715127883766
15,1.1617566358809377,0.48541849851608276,0.8355991505361371
16,1.1239310827909732,0.464769184589386,0.8322192823655015
17,1.1204105187864866,0.48764732480049133,0.8325674232929491
18,1.111741898807825,0.49364960193634033,0.8287958965789352
19,1.0977163356893203,0.46788278222084045,0.837331151650188
20,1.097447511729072,0.5051385164260864,0.8323585387364805
21,1.14753370588901,0.4581269323825836,0.8182008076869516
22,1.1320100052683961,0.46980521082878113,0.828215661699856
23,1.0769693327885048,0.46344977617263794,0.8247922759132896
24,1.0739473326533449,0.48068881034851074,0.8208292716891797
25,1.0669395182646957,0.5854268670082092,0.8204753284129417
26,1.0953982731875251,0.4712468981742859,0.8229007102074919
27,1.0806890356774423,0.5182170867919922,0.8238058766188554
28,1.0519590015504874,0.4742548167705536,0.8234055145522907
29,1.0350245875470778,0.49996834993362427,0.8222566494917143
